inventory_id,item_id,warehouse_id,stock_on_hand,stock_reserved,reorder_point,safety_stock,avg_consumption,lead_time_days,snapshot_date
INVST000336,ITM0011,WH03,30,30,2048.26,190.59,103.45,33,2025-12-01
INVST000337,ITM0018,WH01,391,34,1938.21,182.39,107.68,30,2025-12-01
INVST000338,ITM0021,WH02,354,15,130.42,10.47,9.45,23,2025-12-01
INVST000339,ITM0002,WH01,445,7,1814.21,109.56,68.72,44,2025-12-01
INVST000340,ITM0030,WH01,476,31,231.03,63.53,55.01,7,2025-12-01
INVST000341,ITM0035,WH03,175,49,379.15,107.99,105.32,6,2025-12-01
INVST000342,ITM0003,WH02,463,33,365.01,148.36,76.04,8,2025-12-01
INVST000343,ITM0036,WH03,452,42,2612.45,136.1,111.64,39,2025-12-01
INVST000344,ITM0009,WH02,80,27,1190.95,131.23,104.47,19,2025-12-01
INVST000345,ITM0020,WH02,173,47,218.52,29.32,26.01,14,2025-12-01
INVST000346,ITM0001,WH01,497,12,1679.57,87.25,66.65,42,2025-12-01
INVST000347,ITM0010,WH03,318,5,2274.37,153.04,97.2,39,2025-12-01
INVST000348,ITM0017,WH01,465,3,1320.47,90.27,56.43,39,2025-12-01
INVST000349,ITM0015,WH02,122,37,944.44,98.14,68.44,23,2025-12-01
INVST000350,ITM0008,WH03,467,43,17.61,13.2,9.78,3,2025-12-01
INVST000351,ITM0012,WH01,391,27,859.03,94.07,55.07,26,2025-12-01
INVST000352,ITM0016,WH03,420,50,1722.3,188.41,98.98,29,2025-12-01
INVST000353,ITM0026,WH02,32,2,2114.65,181.27,97.9,36,2025-12-01
INVST000354,ITM0027,WH02,360,12,2581.81,108.85,97.8,44,2025-12-01
INVST000355,ITM0039,WH01,12,33,1965.28,150.74,83.99,39,2025-12-01
INVST000356,ITM0014,WH02,74,33,178.9,14.68,12.96,23,2025-12-01
INVST000357,ITM0005,WH02,298,8,1782.89,140.31,74.29,40,2025-12-01
INVST000358,ITM0013,WH03,258,11,769.75,71.8,71.27,18,2025-12-01
INVST000359,ITM0006,WH03,282,22,592.69,43.48,37.99,26,2025-12-01
INVST000360,ITM0004,WH01,24,47,150.65,65.27,41.85,6,2025-12-01
