payment_id,invoice_id,payment_date,payment_method,amount_paid,bank_ref,paid_by
PAY00362,INV00455,2025-05-29,giro,342060.15,REF5641950,EMP026
PAY00363,INV00456,2025-08-22,transfer,897043.01,REF6293979,EMP018
PAY00364,INV00457,2025-06-23,giro,12320.23,REF2377186,EMP035
PAY00365,INV00458,2025-08-06,virtual_account,14703.01,REF2704646,EMP012
PAY00366,INV00459,2024-06-13,transfer,4469582.07,REF6124211,EMP021
PAY00367,INV00460,2025-01-22,virtual_account,9446.40,REF3113020,EMP010
PAY00368,INV00461,2026-03-19,transfer,1307261.23,REF5262899,EMP013
PAY00369,INV00462,2026-01-02,giro,817992.84,REF9086524,EMP038
PAY00370,INV00463,2024-12-19,virtual_account,11566.00,REF6559653,EMP015
PAY00371,INV00464,2024-08-07,virtual_account,517630.23,REF1309910,EMP040
PAY00372,INV00465,2025-04-23,giro,7133.63,REF7815897,EMP023
PAY00373,INV00466,2025-02-27,virtual_account,101079.99,REF3808388,EMP031
PAY00374,INV00468,2025-02-07,giro,7946.04,REF5841424,EMP026
PAY00375,INV00469,2024-05-28,virtual_account,6014.76,REF5417843,EMP014
PAY00376,INV00470,2025-12-28,transfer,7670.98,REF3901599,EMP023
PAY00377,INV00471,2025-05-30,giro,822907.93,REF2972292,EMP013
PAY00378,INV00472,2025-07-03,transfer,910192.93,REF1659573,EMP007
PAY00379,INV00474,2025-10-24,virtual_account,5908.68,REF4830696,EMP024
PAY00380,INV00476,2024-04-02,transfer,235688.78,REF1177286,EMP027
PAY00381,INV00477,2026-01-02,virtual_account,131649.74,REF2397786,EMP026
PAY00382,INV00478,2024-07-07,transfer,9382.27,REF7736540,EMP001
PAY00383,INV00480,2025-10-04,transfer,359352.87,REF8609231,EMP026
PAY00384,INV00481,2025-08-02,transfer,767527.14,REF2555745,EMP023
PAY00385,INV00482,2025-09-09,virtual_account,375131.19,REF7840467,EMP005
PAY00386,INV00484,2025-04-06,transfer,194203.23,REF8450197,EMP027
PAY00387,INV00486,2025-07-25,giro,60693.46,REF6629980,EMP029
PAY00388,INV00487,2025-11-01,giro,1144588.12,REF6712069,EMP033
PAY00389,INV00488,2025-03-18,virtual_account,8445783.58,REF9311556,EMP011
PAY00390,INV00489,2025-10-24,transfer,8669.42,REF7139913,EMP017
PAY00391,INV00490,2024-04-15,virtual_account,826050.53,REF1932848,EMP028
PAY00392,INV00491,2025-02-10,giro,596157.22,REF3927917,EMP033
PAY00393,INV00493,2024-11-11,transfer,2619.93,REF1013016,EMP030
PAY00394,INV00494,2025-05-07,giro,836914.23,REF9527123,EMP031
PAY00395,INV00495,2026-03-15,transfer,45151.94,REF7716629,EMP039
PAY00396,INV00497,2024-03-23,virtual_account,465685.58,REF1611999,EMP037
PAY00397,INV00498,2025-01-12,transfer,37434.64,REF9666820,EMP011
PAY00398,INV00500,2025-04-03,virtual_account,13599.35,REF4547011,EMP019
PAY00399,INV00501,2024-04-26,giro,8167.68,REF6279831,EMP031
PAY00400,INV00502,2024-06-11,virtual_account,241185.70,REF1762915,EMP023
PAY00401,INV00504,2024-06-03,virtual_account,924.28,REF2827004,EMP031
PAY00402,INV00505,2026-04-27,virtual_account,17390.25,REF3574192,EMP031
PAY00403,INV00506,2026-02-21,giro,1574.91,REF1261313,EMP007
PAY00404,INV00507,2024-12-04,transfer,35702.20,REF2471697,EMP015
PAY00405,INV00508,2024-05-12,virtual_account,33732.13,REF3285269,EMP009
PAY00406,INV00509,2024-04-28,transfer,86448.05,REF7749788,EMP030
PAY00407,INV00511,2025-12-16,giro,125681.30,REF2431740,EMP005
PAY00408,INV00512,2024-07-05,virtual_account,2605.19,REF6854169,EMP010
PAY00409,INV00513,2024-09-22,transfer,65675.02,REF1799541,EMP001
PAY00410,INV00514,2024-10-08,transfer,117274.80,REF7535309,EMP007
PAY00411,INV00515,2024-05-16,giro,74384.28,REF1677410,EMP015
PAY00412,INV00517,2024-11-04,giro,1292672.93,REF9708196,EMP023
PAY00413,INV00518,2024-07-31,giro,74973.46,REF8582036,EMP023
PAY00414,INV00519,2025-09-27,virtual_account,149141.63,REF4243122,EMP021
PAY00415,INV00520,2026-01-22,virtual_account,121499.45,REF8557973,EMP010
PAY00416,INV00522,2025-12-10,giro,38644.49,REF7877694,EMP013
PAY00417,INV00523,2025-09-03,giro,11439.24,REF4058847,EMP005
PAY00418,INV00524,2025-09-19,transfer,3322.86,REF2042527,EMP026
PAY00419,INV00525,2024-12-14,giro,2188363.53,REF1236458,EMP029
PAY00420,INV00526,2025-08-30,giro,77814.06,REF9786173,EMP013
PAY00421,INV00527,2024-07-07,giro,23267.74,REF7363717,EMP029
PAY00422,INV00528,2026-03-13,virtual_account,1027146.91,REF6599609,EMP015
PAY00423,INV00529,2025-11-13,virtual_account,44516.17,REF6372578,EMP022
PAY00424,INV00530,2025-06-23,transfer,221757.49,REF2955552,EMP006
PAY00425,INV00531,2026-03-14,giro,4394816.34,REF2710850,EMP040
PAY00426,INV00532,2024-09-25,giro,343244.89,REF5918980,EMP018
PAY00427,INV00535,2024-05-19,virtual_account,660172.32,REF9413799,EMP011
PAY00428,INV00536,2026-03-04,transfer,10057.00,REF9486234,EMP031
PAY00429,INV00538,2025-03-21,giro,26310.81,REF4829636,EMP014
PAY00430,INV00539,2025-12-18,transfer,298115.98,REF8667763,EMP018
PAY00431,INV00540,2024-10-24,transfer,1192005.86,REF4762393,EMP040
PAY00432,INV00542,2026-03-02,transfer,893798.08,REF4158410,EMP008
PAY00433,INV00543,2025-04-28,giro,782.15,REF8704605,EMP010
PAY00434,INV00544,2025-01-26,transfer,23500.13,REF1491206,EMP032
PAY00435,INV00545,2024-08-28,transfer,206384.15,REF7271891,EMP036
PAY00436,INV00547,2024-10-05,giro,76529.03,REF6732692,EMP022
PAY00437,INV00548,2026-02-13,virtual_account,23864.64,REF7315065,EMP038
PAY00438,INV00549,2025-08-11,virtual_account,6588984.08,REF6626809,EMP008
PAY00439,INV00550,2025-06-14,giro,6609875.89,REF6751144,EMP011
PAY00440,INV00551,2025-08-03,virtual_account,602690.98,REF5016593,EMP003
PAY00441,INV00553,2024-07-08,transfer,9617.83,REF9338975,EMP031
PAY00442,INV00554,2024-12-22,virtual_account,109142.59,REF3241389,EMP007
PAY00443,INV00555,2024-02-08,giro,171124.01,REF7626456,EMP021
PAY00444,INV00556,2025-11-01,transfer,65040.80,REF3491173,EMP018
PAY00445,INV00557,2025-09-16,virtual_account,155894.42,REF1892659,EMP001
PAY00446,INV00558,2025-09-13,virtual_account,1636061.77,REF6981786,EMP020
PAY00447,INV00559,2025-12-13,virtual_account,33267.89,REF9923671,EMP028
PAY00448,INV00560,2024-12-24,virtual_account,60738.49,REF7174035,EMP013
PAY00449,INV00561,2024-05-08,virtual_account,33723.32,REF8421655,EMP014
PAY00450,INV00562,2024-08-30,transfer,331325.41,REF4922668,EMP035
PAY00451,INV00563,2025-07-30,giro,233701.53,REF5704646,EMP026
PAY00452,INV00566,2024-05-29,transfer,1076668.44,REF3733615,EMP036
PAY00453,INV00568,2024-08-18,transfer,182560.38,REF8200630,EMP010
PAY00454,INV00569,2024-11-25,transfer,98389.34,REF5305945,EMP003
PAY00455,INV00571,2025-04-14,virtual_account,22050.26,REF7930068,EMP031
PAY00456,INV00573,2024-10-26,giro,695907.87,REF9454622,EMP031
PAY00457,INV00574,2025-06-03,transfer,41109.98,REF5395559,EMP029
PAY00458,INV00576,2024-07-25,virtual_account,837917.44,REF9327109,EMP024
PAY00459,INV00577,2026-04-21,virtual_account,37325.76,REF9814085,EMP014
PAY00460,INV00579,2025-11-01,giro,180253.76,REF2498185,EMP032
PAY00461,INV00580,2024-10-17,transfer,134999.34,REF5388055,EMP038
PAY00462,INV00581,2026-01-16,virtual_account,89051.77,REF8868052,EMP007
PAY00463,INV00582,2026-01-12,virtual_account,1537225.43,REF4263962,EMP027
PAY00464,INV00583,2024-12-09,virtual_account,276124.31,REF9794923,EMP040
PAY00465,INV00584,2025-05-20,transfer,913517.13,REF6271838,EMP007
PAY00466,INV00585,2024-11-29,giro,41570.17,REF4606478,EMP021
PAY00467,INV00586,2025-05-24,virtual_account,132146.06,REF5992829,EMP007
PAY00468,INV00587,2026-01-11,giro,9765972.71,REF5401001,EMP040
PAY00469,INV00588,2025-11-28,giro,36215.89,REF6528230,EMP021
PAY00470,INV00589,2025-07-18,giro,578983.20,REF7928542,EMP039
PAY00471,INV00590,2025-03-25,virtual_account,848740.78,REF6209989,EMP037
PAY00472,INV00591,2026-03-16,transfer,590958.83,REF4388297,EMP018
PAY00473,INV00592,2024-06-12,transfer,859106.27,REF8663691,EMP038
PAY00474,INV00594,2026-02-26,transfer,15711.07,REF9303123,EMP039
PAY00475,INV00595,2025-06-17,virtual_account,641855.34,REF7519642,EMP025
PAY00476,INV00596,2025-06-11,virtual_account,2614537.13,REF8538936,EMP026
PAY00477,INV00598,2024-11-27,transfer,95105.43,REF7735271,EMP036
PAY00478,INV00599,2025-10-21,virtual_account,34472.73,REF5059319,EMP026
PAY00479,INV00600,2025-12-11,giro,23069.02,REF8936971,EMP004
PAY00480,INV00601,2025-04-21,transfer,956998.33,REF5727959,EMP008
PAY00481,INV00602,2025-03-07,giro,11392.37,REF4972084,EMP037
PAY00482,INV00604,2025-02-11,virtual_account,63777.85,REF3820056,EMP034
PAY00483,INV00605,2024-06-15,giro,102152.62,REF5029184,EMP037
PAY00484,INV00606,2025-12-10,virtual_account,865695.26,REF7598728,EMP034
PAY00485,INV00607,2024-07-13,giro,162278.07,REF6463613,EMP031
PAY00486,INV00608,2026-01-25,virtual_account,18155.50,REF2684767,EMP027
PAY00487,INV00609,2024-07-24,giro,140119.14,REF3707365,EMP025
PAY00488,INV00610,2024-10-06,transfer,6417.82,REF7562960,EMP013
PAY00489,INV00611,2025-03-22,virtual_account,12247.72,REF2659332,EMP024
PAY00490,INV00612,2024-07-30,virtual_account,42500.05,REF2243239,EMP035
PAY00491,INV00613,2024-09-26,giro,49033.41,REF8953858,EMP025
PAY00492,INV00614,2024-05-26,virtual_account,20701749.66,REF9922954,EMP038
PAY00493,INV00615,2026-02-15,transfer,2090357.90,REF8153495,EMP038
PAY00494,INV00616,2025-09-17,virtual_account,93889.91,REF6945631,EMP008
PAY00495,INV00617,2025-04-14,virtual_account,40522.21,REF3145859,EMP015
PAY00496,INV00618,2025-10-05,giro,190184.69,REF9410273,EMP027
PAY00497,INV00619,2024-12-21,giro,34837.14,REF5682604,EMP012
PAY00498,INV00620,2024-03-22,giro,7600.29,REF7753373,EMP007
PAY00499,INV00621,2026-03-18,virtual_account,28725.49,REF9101459,EMP017
PAY00500,INV00622,2025-11-08,transfer,18489.04,REF8962962,EMP004
PAY00501,INV00623,2024-04-26,giro,820753.80,REF5099412,EMP024
PAY00502,INV00624,2024-08-28,virtual_account,1773682.63,REF1938911,EMP014
PAY00503,INV00625,2026-02-24,transfer,14864.59,REF8675147,EMP024
PAY00504,INV00626,2025-01-29,transfer,1203431.02,REF3209496,EMP024
PAY00505,INV00627,2024-03-22,virtual_account,1865.42,REF4834965,EMP009
PAY00506,INV00629,2025-08-16,transfer,359210.10,REF9333551,EMP005
PAY00507,INV00630,2025-03-25,virtual_account,204008.09,REF1311004,EMP001
PAY00508,INV00631,2024-11-20,giro,42579.23,REF6715580,EMP035
PAY00509,INV00632,2025-01-26,virtual_account,30975.66,REF4244358,EMP019
PAY00510,INV00633,2025-12-24,virtual_account,5522961.70,REF4569539,EMP008
PAY00511,INV00634,2025-10-15,giro,5433316.31,REF6780767,EMP005
PAY00512,INV00635,2024-09-04,virtual_account,44670.63,REF7805884,EMP022
PAY00513,INV00636,2026-02-06,giro,935036.84,REF9019666,EMP032
PAY00514,INV00637,2024-12-06,transfer,112294.35,REF6268771,EMP037
PAY00515,INV00638,2024-04-03,giro,202975.39,REF8949617,EMP028
PAY00516,INV00639,2025-05-16,virtual_account,9351.83,REF5624291,EMP003
PAY00517,INV00640,2024-05-29,giro,390362.93,REF2750567,EMP022
PAY00518,INV00641,2025-05-22,transfer,13510.55,REF1065843,EMP009
PAY00519,INV00642,2025-12-26,virtual_account,439428.96,REF4559078,EMP023
PAY00520,INV00644,2025-11-25,virtual_account,30045.85,REF5467033,EMP012
PAY00521,INV00645,2025-05-07,giro,81610.84,REF4136887,EMP012
PAY00522,INV00646,2024-05-09,transfer,8056.07,REF6354282,EMP011
PAY00523,INV00647,2025-03-15,giro,673565.31,REF7055412,EMP038
PAY00524,INV00648,2025-05-07,transfer,17131.45,REF8208225,EMP020
PAY00525,INV00649,2024-10-29,giro,59595.68,REF9368933,EMP026
PAY00526,INV00650,2025-05-13,giro,86600.78,REF5111216,EMP020
PAY00527,INV00651,2025-05-14,virtual_account,603005.27,REF7043599,EMP006
PAY00528,INV00653,2024-01-28,transfer,6057.99,REF1095683,EMP007
PAY00529,INV00654,2024-11-29,virtual_account,3334.69,REF4608865,EMP011
PAY00530,INV00657,2024-09-24,virtual_account,32948.61,REF1423454,EMP020
PAY00531,INV00659,2025-12-13,transfer,662962.13,REF7550312,EMP011
PAY00532,INV00660,2024-04-30,giro,41987.75,REF9020369,EMP019
PAY00533,INV00662,2025-05-28,virtual_account,173994.00,REF9239030,EMP039
PAY00534,INV00663,2026-02-21,giro,912642.47,REF1615493,EMP030
PAY00535,INV00664,2026-01-05,virtual_account,102425.87,REF3859450,EMP038
PAY00536,INV00665,2025-01-13,giro,742791.61,REF1286741,EMP032
PAY00537,INV00666,2025-04-09,virtual_account,72583.03,REF3595598,EMP022
PAY00538,INV00667,2024-05-26,virtual_account,58604.30,REF6366676,EMP031
PAY00539,INV00668,2025-02-07,giro,9060067.85,REF2426547,EMP025
PAY00540,INV00670,2025-06-04,giro,77856.94,REF1383158,EMP010
PAY00541,INV00671,2024-08-28,giro,82410.88,REF6600461,EMP040
PAY00542,INV00672,2025-11-05,virtual_account,132166.98,REF6054323,EMP025
PAY00543,INV00673,2025-06-05,virtual_account,121574.54,REF9436220,EMP013
PAY00544,INV00674,2024-11-24,giro,52502.60,REF9818011,EMP031
PAY00545,INV00675,2025-11-06,transfer,5124772.14,REF9794036,EMP024
PAY00546,INV00676,2026-02-05,transfer,21686.29,REF4846483,EMP022
PAY00547,INV00677,2025-07-13,virtual_account,184039.69,REF9647339,EMP018
PAY00548,INV00679,2025-06-27,virtual_account,111948.21,REF1397585,EMP009
PAY00549,INV00680,2025-09-22,giro,3076.26,REF9974267,EMP003
PAY00550,INV00681,2025-05-14,virtual_account,407232.22,REF9936887,EMP032
PAY00551,INV00682,2024-11-14,virtual_account,50640.62,REF6372500,EMP017
PAY00552,INV00683,2025-06-09,virtual_account,4367.39,REF5742703,EMP005
PAY00553,INV00685,2024-10-02,giro,1055332.31,REF1561977,EMP023
PAY00554,INV00686,2025-08-26,giro,114254.06,REF3340353,EMP027
PAY00555,INV00687,2025-12-14,transfer,1969516.52,REF6019662,EMP023
PAY00556,INV00688,2025-03-29,giro,28800.55,REF8012316,EMP012
PAY00557,INV00690,2024-04-03,transfer,11464.09,REF4538323,EMP002
PAY00558,INV00691,2025-11-06,giro,660017.90,REF4734099,EMP003
PAY00559,INV00692,2024-09-27,transfer,222177.59,REF7534155,EMP001
PAY00560,INV00693,2024-08-06,virtual_account,62571.89,REF3982538,EMP011
PAY00561,INV00694,2024-10-18,giro,165958.39,REF9800406,EMP002
PAY00562,INV00695,2024-08-26,transfer,224355.77,REF4362310,EMP017
PAY00563,INV00698,2025-12-21,virtual_account,8340.17,REF4365016,EMP017
PAY00564,INV00699,2024-04-30,giro,964055.21,REF2851809,EMP010
PAY00565,INV00700,2025-04-19,transfer,3894.03,REF7897517,EMP034
PAY00566,INV00701,2024-11-15,virtual_account,36241.33,REF1925152,EMP028
PAY00567,INV00702,2025-12-22,giro,7179.35,REF6418564,EMP019
PAY00568,INV00704,2024-07-12,transfer,234843.87,REF8622601,EMP013
PAY00569,INV00706,2025-11-20,virtual_account,803390.69,REF8249719,EMP038
PAY00570,INV00707,2024-11-30,transfer,20431.99,REF1380835,EMP019
PAY00571,INV00708,2025-09-18,virtual_account,792658.58,REF4356745,EMP037
PAY00572,INV00709,2024-12-20,virtual_account,334311.93,REF6777863,EMP022
PAY00573,INV00710,2025-05-07,transfer,969844.60,REF2637336,EMP006
PAY00574,INV00712,2024-05-22,giro,105098.19,REF7833399,EMP006
PAY00575,INV00713,2025-06-24,giro,185222.27,REF9278963,EMP030
PAY00576,INV00714,2025-10-31,transfer,955147.93,REF3927548,EMP031
PAY00577,INV00715,2025-12-26,giro,4997988.90,REF8341765,EMP039
PAY00578,INV00716,2024-11-02,virtual_account,142646.57,REF9375507,EMP012
PAY00579,INV00717,2025-06-26,giro,157892.71,REF2295544,EMP025
PAY00580,INV00718,2025-01-10,transfer,826933.26,REF6463635,EMP019
PAY00581,INV00720,2024-10-11,transfer,41650.33,REF8054268,EMP032
PAY00582,INV00721,2026-02-28,transfer,822185.55,REF5836861,EMP021
PAY00583,INV00722,2024-07-13,giro,296481.83,REF6023750,EMP033
PAY00584,INV00723,2025-11-05,giro,4011.70,REF4706786,EMP009
PAY00585,INV00724,2024-09-26,giro,7032.18,REF1337833,EMP037
PAY00586,INV00725,2025-04-24,giro,80815.39,REF7103548,EMP003
PAY00587,INV00726,2025-09-04,virtual_account,1441260.46,REF1575441,EMP033
PAY00588,INV00727,2026-02-16,transfer,24912.09,REF5845015,EMP037
PAY00589,INV00728,2024-09-15,virtual_account,2903.25,REF6488569,EMP019
PAY00590,INV00730,2026-03-10,transfer,231679.33,REF4779307,EMP026
PAY00591,INV00731,2024-10-16,transfer,23323.80,REF8340537,EMP004
PAY00592,INV00733,2025-04-17,transfer,223256.07,REF8453174,EMP016
PAY00593,INV00734,2025-12-01,giro,4808186.28,REF2214571,EMP001
PAY00594,INV00735,2025-10-18,virtual_account,68008.96,REF6632834,EMP033
PAY00595,INV00736,2025-06-29,transfer,180252.83,REF2269067,EMP026
PAY00596,INV00737,2024-06-22,transfer,17301.78,REF7031064,EMP032
PAY00597,INV00739,2025-08-13,virtual_account,357138.01,REF1300149,EMP013
PAY00598,INV00740,2025-12-07,giro,2687699.19,REF5174531,EMP036
PAY00599,INV00741,2026-01-06,transfer,979692.09,REF8445740,EMP010
PAY00600,INV00743,2025-03-20,giro,8556.63,REF8251085,EMP016
PAY00601,INV00744,2025-04-30,virtual_account,1250828.06,REF6836386,EMP011
PAY00602,INV00745,2025-05-17,virtual_account,194410.44,REF6388446,EMP020
PAY00603,INV00746,2025-11-26,transfer,325034.38,REF8137510,EMP019
PAY00604,INV00747,2024-06-01,virtual_account,18355.74,REF2764731,EMP001
PAY00605,INV00749,2025-04-04,giro,829599.31,REF3341165,EMP036
PAY00606,INV00750,2025-02-25,transfer,119924.27,REF6744174,EMP004
PAY00607,INV00752,2024-07-12,giro,13920.65,REF2790287,EMP040
PAY00608,INV00753,2024-10-28,virtual_account,105620.15,REF3085724,EMP033
PAY00609,INV00755,2024-05-02,giro,12920.08,REF6009153,EMP009
PAY00610,INV00756,2025-01-29,giro,27953.44,REF5413309,EMP018
PAY00611,INV00758,2026-02-11,virtual_account,15739.52,REF8693470,EMP026
PAY00612,INV00759,2025-06-28,transfer,949713.12,REF6193154,EMP025
PAY00613,INV00760,2024-12-07,virtual_account,967335.86,REF7973780,EMP032
PAY00614,INV00761,2025-07-05,transfer,129495.83,REF8892352,EMP031
PAY00615,INV00762,2024-03-24,virtual_account,425852.71,REF8897642,EMP012
PAY00616,INV00763,2025-02-21,virtual_account,996386.45,REF3928367,EMP037
PAY00617,INV00764,2024-08-26,virtual_account,350484.27,REF9573604,EMP016
PAY00618,INV00765,2025-08-09,transfer,27826.77,REF6999608,EMP021
PAY00619,INV00767,2025-09-20,giro,30295.05,REF9132503,EMP039
PAY00620,INV00768,2025-08-28,virtual_account,44073.09,REF1353349,EMP005
PAY00621,INV00770,2024-04-15,transfer,957576.97,REF8529239,EMP031
PAY00622,INV00771,2025-11-23,virtual_account,4078476.84,REF2715606,EMP011
PAY00623,INV00772,2026-01-08,giro,101243.15,REF3067787,EMP026
PAY00624,INV00773,2025-04-20,virtual_account,32085.28,REF4356944,EMP019
PAY00625,INV00774,2025-05-06,transfer,1752128.72,REF6499106,EMP032
PAY00626,INV00775,2025-02-04,virtual_account,159674.48,REF5483429,EMP006
PAY00627,INV00776,2025-02-08,virtual_account,2244364.53,REF5984128,EMP040
PAY00628,INV00777,2024-11-15,transfer,154017.49,REF6988179,EMP014
PAY00629,INV00779,2025-12-07,virtual_account,867031.62,REF8994929,EMP020
PAY00630,INV00780,2024-10-18,giro,62558.84,REF5131420,EMP013
PAY00631,INV00782,2024-07-31,transfer,93381.37,REF7046547,EMP026
PAY00632,INV00783,2025-04-08,giro,7666.32,REF6217409,EMP016
PAY00633,INV00784,2024-04-01,transfer,326354.52,REF9299483,EMP006
PAY00634,INV00785,2025-01-11,virtual_account,2747939.34,REF3763026,EMP015
PAY00635,INV00786,2024-08-02,transfer,3542.78,REF9555281,EMP014
PAY00636,INV00787,2026-01-24,virtual_account,20564.49,REF5379562,EMP015
PAY00637,INV00788,2024-11-30,transfer,7518.65,REF2588149,EMP033
PAY00638,INV00789,2024-07-13,giro,256976.98,REF9298547,EMP022
PAY00639,INV00791,2025-05-01,giro,89769.84,REF7455872,EMP012
PAY00640,INV00792,2024-10-25,transfer,874467.11,REF7946251,EMP034
PAY00641,INV00793,2025-01-10,transfer,20060.10,REF7580214,EMP024
PAY00642,INV00794,2025-04-20,transfer,6745342.93,REF1001172,EMP032
PAY00643,INV00795,2026-04-02,giro,115536.96,REF1816889,EMP036
PAY00644,INV00796,2025-06-29,giro,183417.72,REF5317507,EMP032
PAY00645,INV00797,2025-05-07,virtual_account,17816.98,REF7850358,EMP016
PAY00646,INV00799,2024-10-27,virtual_account,3199.35,REF3775364,EMP028
PAY00647,INV00800,2025-07-20,giro,894949.22,REF3510768,EMP015
PAY00648,INV00802,2025-06-08,transfer,78260.67,REF4965626,EMP029
PAY00649,INV00803,2026-04-19,virtual_account,909157.37,REF4396012,EMP039
PAY00650,INV00805,2024-05-27,virtual_account,13898.55,REF5983486,EMP016
PAY00651,INV00807,2024-10-27,transfer,921560.85,REF8529323,EMP003
PAY00652,INV00808,2024-09-29,virtual_account,969382.68,REF2251886,EMP022
PAY00653,INV00810,2025-03-24,giro,3564.83,REF8938314,EMP023
PAY00654,INV00811,2024-05-06,transfer,3856.19,REF2080897,EMP019
PAY00655,INV00812,2025-03-24,transfer,39816.09,REF3808649,EMP012
PAY00656,INV00813,2025-03-22,transfer,44232.99,REF8101540,EMP023
PAY00657,INV00814,2025-06-30,giro,922639.17,REF2796310,EMP017
PAY00658,INV00815,2024-10-27,virtual_account,254231.50,REF3063918,EMP002
PAY00659,INV00816,2025-10-11,giro,198345.36,REF2832230,EMP017
PAY00660,INV00817,2024-04-30,giro,932872.14,REF3001853,EMP028
PAY00661,INV00819,2025-08-26,transfer,30768.05,REF9802287,EMP015
PAY00662,INV00820,2024-10-12,transfer,869132.62,REF6679143,EMP002
PAY00663,INV00821,2026-04-02,giro,40522.55,REF5892859,EMP020
PAY00664,INV00822,2025-10-06,giro,15763.43,REF2510403,EMP011
PAY00665,INV00824,2024-03-03,transfer,223784.93,REF9560832,EMP006
PAY00666,INV00825,2025-02-02,transfer,939375.83,REF3317161,EMP025
PAY00667,INV00826,2024-07-12,giro,73541.71,REF2236499,EMP024
PAY00668,INV00827,2024-06-15,giro,204535.25,REF5677995,EMP008
PAY00669,INV00828,2024-10-28,transfer,170458.43,REF2021940,EMP039
PAY00670,INV00829,2025-08-11,virtual_account,924062.91,REF7898158,EMP005
PAY00671,INV00831,2025-09-20,giro,4137.97,REF2563565,EMP012
PAY00672,INV00832,2025-02-22,virtual_account,83242.71,REF5705112,EMP027
PAY00673,INV00835,2025-02-26,giro,125999.52,REF5904531,EMP022
PAY00674,INV00836,2025-09-29,transfer,1302526.70,REF7581810,EMP027
PAY00675,INV00837,2026-01-02,virtual_account,89122.23,REF7338242,EMP002
PAY00676,INV00838,2024-12-19,virtual_account,53470.81,REF2594352,EMP030
PAY00677,INV00842,2024-10-24,virtual_account,780551.33,REF5174633,EMP019
PAY00678,INV00844,2025-05-17,virtual_account,3493.79,REF6487665,EMP001
PAY00679,INV00847,2026-01-02,transfer,25411.45,REF1224453,EMP036
PAY00680,INV00848,2024-04-09,giro,1995302.21,REF3807414,EMP008
PAY00681,INV00849,2026-01-25,virtual_account,215408.26,REF1448697,EMP023
PAY00682,INV00850,2025-02-02,giro,9217.43,REF5537392,EMP038
PAY00683,INV00851,2024-03-12,transfer,196889.44,REF3271965,EMP023
PAY00684,INV00852,2024-07-17,virtual_account,335030.71,REF9055994,EMP025
PAY00685,INV00853,2025-03-27,virtual_account,1308716.83,REF7469913,EMP014
PAY00686,INV00854,2024-06-16,giro,406471.13,REF6308143,EMP034
PAY00687,INV00855,2026-03-06,transfer,101254.41,REF2831998,EMP034
PAY00688,INV00856,2026-01-28,giro,15518.74,REF1558631,EMP009
PAY00689,INV00857,2025-08-22,transfer,11002.83,REF8966621,EMP009
PAY00690,INV00858,2026-01-02,transfer,20558.84,REF5495585,EMP004
PAY00691,INV00859,2025-10-01,transfer,66586.23,REF5847615,EMP001
PAY00692,INV00860,2025-01-11,giro,1371266.19,REF2317582,EMP006
PAY00693,INV00861,2024-12-09,giro,229106.78,REF2029649,EMP038
PAY00694,INV00864,2024-08-26,virtual_account,79104.34,REF8310364,EMP039
PAY00695,INV00866,2026-01-25,virtual_account,384015.02,REF2089823,EMP022
PAY00696,INV00867,2025-11-20,virtual_account,123579.55,REF2197664,EMP019
PAY00697,INV00868,2025-10-30,virtual_account,3343327.40,REF4824268,EMP023
PAY00698,INV00869,2024-04-30,giro,199822.87,REF4356588,EMP032
PAY00699,INV00870,2026-02-28,giro,810639.69,REF4216496,EMP020
PAY00700,INV00871,2026-01-23,virtual_account,3235.63,REF4742770,EMP023
PAY00701,INV00872,2024-05-13,transfer,9285.30,REF1333884,EMP036
PAY00702,INV00873,2025-01-07,giro,859834.40,REF2305807,EMP038
PAY00703,INV00874,2025-12-05,giro,1500.38,REF6584135,EMP024
PAY00704,INV00875,2024-05-13,transfer,31931.29,REF9329365,EMP001
PAY00705,INV00876,2026-01-16,virtual_account,4153745.90,REF8447582,EMP009
PAY00706,INV00877,2025-05-13,virtual_account,32588.11,REF6095718,EMP020
PAY00707,INV00879,2025-04-28,virtual_account,15761.67,REF3009969,EMP017
PAY00708,INV00880,2024-12-10,transfer,13101.98,REF9855241,EMP010
PAY00709,INV00881,2025-10-05,giro,48806.85,REF4032710,EMP017
PAY00710,INV00883,2024-05-05,giro,134032.12,REF7204797,EMP017
PAY00711,INV00885,2025-07-27,virtual_account,382751.66,REF1784532,EMP035
PAY00712,INV00886,2026-05-04,virtual_account,800296.36,REF3018097,EMP028
PAY00713,INV00887,2024-08-29,transfer,415204.96,REF4172705,EMP019
PAY00714,INV00889,2025-04-07,virtual_account,718.01,REF9561286,EMP033
PAY00715,INV00892,2024-08-17,giro,860180.43,REF7105543,EMP013
PAY00716,INV00893,2026-02-16,virtual_account,3527999.45,REF7786754,EMP037
PAY00717,INV00894,2024-09-17,giro,89973.09,REF9622176,EMP013
PAY00718,INV00895,2025-10-22,transfer,95449.59,REF6340631,EMP021
PAY00719,INV00896,2024-12-29,virtual_account,9963.42,REF6009187,EMP034
PAY00720,INV00897,2024-04-17,giro,19182.18,REF7160829,EMP001
PAY00721,INV00900,2025-05-01,giro,17004.05,REF7758620,EMP038
PAY00722,INV00901,2025-07-24,transfer,7136852.26,REF4950524,EMP009
PAY00723,INV00902,2026-02-11,giro,390712.50,REF2160801,EMP018
